id,address,battery,ict,lamp,latitude,longitude,postalCode
1,20 TUAS LOOP,1,1,1,1.3201954,103.6367344,637350
2,223 CHOA CHU KANG CENTRAL,1,1,1,1.38161595,103.7446838,680223
3,"313 ORCHARD ROAD, LEVEL 1 DISCOVERY WALK, NEAR MONEY CHANGER",1,1,1,1.301022,103.838542,238895
4,54 CHIN SWEE ROAD,1,1,1,1.2874586,103.841171,160054
5,"68 GEYLANG BAHRU, MAIN ENTRANCE",1,1,1,1.321969,103.869815,330068
6,"888 WOODLANDS DRIVE 50, 888 PLAZA, COMMON CORRIDOR",1,1,1,1.4377962,103.7952803,730888
7,"120 WOODLANDS AVENUE 1, ACE THE PLACE CC, BESIDE CC OFFICE ENTRANCE",1,1,1,1.4274721,103.7921603,739069
8,"378 ALEXANDRA ROAD, BLK 21, LEVEL 1",1,1,1,1.28613175,103.7997703,159964
9,"59 ANCHORVALE ROAD, ANCHORVALE COMMUNITY CLUB, MAIN LOBBY",1,1,1,1.396122,103.886634,544965
10,"ANG MO KIO AVENUE 1, MAIN LOBBY ENTRANCE",1,1,1,1.365192,103.839287,569976
11,"3013 BEDOK INDUSTRIAL PARK E, PAVILION",1,1,1,1.335832,103.950687,489978
12,"51 NEW UPPER CHANGI ROAD, #01-1500",1,1,1,1.32341155,103.9421859,461051
13,"477A UPPER SERANGOON VIEW, LEVEL 1",1,1,1,1.37839515,103.9038506,531477
14,"218D BOON LAY AVE #01-309, DROP OFF AREA",1,1,1,1.350838,103.711962,640218
15,682A JURONG WEST CENTRAL 1 #01-104,1,1,1,1.3439763,103.705429,641682
16,260 BOON LAY DRIVE,1,1,1,1.34514715,103.7077904,640260
17,"674A JURONG WEST STREET 65, #01-66, VOID DECK",1,1,1,1.344664,103.70219,641674
18,"2A LORONG LEW LIAN, MULTI STOREY CARPARK, LEVEL 1",1,1,1,1.350828,103.875263,532002
19,"410 SERANGOON CENTRAL, #01-327",1,1,1,1.347733,103.873836,550410
20,"318 SERANGOON AVE 2, #01-324",1,1,1,1.352825,103.867271,550318
21,817A KEAT HONG LINK,1,1,1,1.3765823,103.7485809,682817
22,"991 BUANGKOK LINK, LEVEL 1",1,1,1,1.38431285,103.8821876,530991
23,"230 VICTORIA STREET, FOUNTAIN LOBBY",1,1,1,1.3001235,103.8560555,188024
24,4000 JALAN BUKIT MERAH,1,1,1,1.28518315,103.8158439,159465
25,"8 PENDING ROAD, MAIN LOBBY",1,1,1,1.37646455,103.7707235,678295
26,"108 BUKIT PURMEI ROAD, #01-129",1,1,1,1.273439,103.825383,90108
27,"1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA, BUKIT TIMAH PLAZA, RESIDENTIAL BLOCK CARPARK",1,1,1,1.338465,103.778497,588996
28,"133 CANBERRA VIEW, LEVEL 1",1,1,1,1.4431568,103.830618,750133
29,"2 JURONG EAST CENTRAL 1, REAR ENTRANCE",1,1,1,1.333295558,103.7402075,609731
30,"4 TAMPINES CENTRAL 5, CUSTOMER SERVICE COUNTER",1,1,1,1.352482982,103.9448402,529510
31,"1 WOODLANDS SQUARE, MAIN ENTRANCE",1,1,1,1.436349,103.78577,738099
32,"298 TIONG BAHRU ROAD, COMMON CORRIDOR (LETTERBOX)",1,1,1,1.286153,103.826873,168730
33,"2 SIMEI STREET 3, CHANGI GENERAL HOSPITAL, B1 MAIN BUILDING LOBBY D",1,1,1,1.340446,103.949053,529889
34,"133 NEW BRIDGE ROAD, #06-01",1,1,1,1.28557,103.84626,59413
35,"51 HOUGANG AVENUE 9, MAIN LOBBY",1,1,1,1.3754634,103.8829357,538776
36,"810 GEYLANG RD, LEVEL 1",1,1,1,1.3147175,103.8934143,409286
37,"180 KITCHENER ROAD, B4 BESIDE TRAVELLATOR LOBBY",1,1,1,1.3112429,103.8565772,208539
38,"220 CLEMENTI AVENUE 4, MAIN ENTRANCE",1,1,1,1.318826,103.76828,129880
39,"24 RAFFLES PLACE, CLIFFORD CENTRE, LVL 3 CARPARK LOBBY",1,1,1,1.283856,103.85213,48621
40,"1 SENGKANG SQUARE, #B1-52/53, MRT EXIT/ENTRANCE",1,1,1,1.392580491,103.89525,545078
41,"201B COMPASSVALE DRIVE, COMPASSVALE SOUTHGATE RC, #01-545, VOID DECK",1,1,1,1.38850465,103.8940006,542201
42,"206C COMPASSVALE LANE, COMPASSVALE VILLA RC, VOID DECK",1,1,1,1.387103,103.897602,543206
43,"168 JALAN BUKIT MARAH, SURBANA ONE, LEVEL 1",1,1,1,1.333986,103.908618,150169
44,"18 CROSS STREET, B1 CUSTOMER SERVICE COUNTER",1,1,1,1.283521,103.84683,48423
45,"57 DAWSON RD, DAWSON PLACE",1,1,1,1.2925348,103.8113068,142057
46,"108 DEPOT ROAD, DEPOT HEIGHTS SHOPPING CENTRE",1,1,1,1.281131,103.810018,100108
47,"623 ELIAS ROAD, ELIAS MALL, MAIN ENTRANCE",1,1,1,1.3783709,103.9419858,510623
48,40 SCOTTS ROAD,1,1,1,1.306425,103.833472,228231
49,"180 BEDOK RESERVOIR ROAD, MAIN ENTRANCE",1,1,1,1.3324962,103.9152034,479220
50,"445 FAJAR ROAD, FAJAR SHOPPING CENTRE, COMMON CORRIDOR",1,1,1,1.383662,103.770611,670445
51,"4 QUEEN’S ROAD, FARRER GARDENS RC",1,1,1,1.3214969,103.8100945,260004
52,"260 ANG MO KIO STREET 21, #01-06",1,1,1,1.36877,103.834625,560260
